# epochs,alpha,scale,low,acc,,,scale,acc
10,0.0005,8,0.05,0.8567,,,,
10,0.001,8,0.05,0.8559,,,,
10,0.005,8,0.05,0.8443,,,,
10,0.0005,8,0.055,0.8089,,,,
10,0.001,8,0.055,0.8112,,,,
10,0.005,8,0.055,0.7943,,,,
10,0.0005,8,0.06,0.7374,,,,
10,0.001,8,0.06,0.7489,,,,
10,0.005,8,0.06,0.7374,,,,
10,0.0005,8,0.065,0.6876,,,,
10,0.001,8,0.065,0.6855,,,,
10,0.005,8,0.065,0.679,,,,
10,0.0005,8,0.07,0.6161,,,,
10,0.001,8,0.07,0.6126,,,,
10,0.005,8,0.07,0.6067,,,,
10,0.0005,8,0.075,0.5557,,,,
10,0.001,8,0.075,0.5508,,,,
10,0.005,8,0.075,0.5414,,,,
10,0.0005,8,0.08,0.4908,,,,
10,0.001,8,0.08,0.4994,,,,
10,0.005,8,0.08,0.4697,,,,
10,0.0005,8,0.085,0.4472,,,,
10,0.001,8,0.085,0.4367,,,,
10,0.005,8,0.085,0.4312,,,,
10,0.0005,8,0.09,0.3895,,,,
10,0.001,8,0.09,0.3988,,,,
10,0.005,8,0.09,0.3894,,,,
10,0.0005,8,0.095,0.3619,,,,
10,0.001,8,0.095,0.3531,,,,
10,0.005,8,0.095,0.3536,,,,
10,0.0005,8,0.1,0.3262,,,,
10,0.001,8,0.1,0.3253,,,,
10,0.005,8,0.1,0.3115,,,,
10,0.0005,16,0.005,0.8339,0.9004,,,
10,0.001,16,0.005,0.8248,,,,
10,0.005,16,0.005,0.7554,,,,
10,0.0005,16,0.01,0.8796,,,,
10,0.001,16,0.01,0.8732,,,,
10,0.005,16,0.01,0.8329,,,,
10,0.0005,16,0.015,0.8993,,,,
10,0.001,16,0.015,0.897,,,,
10,0.005,16,0.015,0.87,,,,
10,0.0005,16,0.02,0.9004,,,,
10,0.001,16,0.02,0.8995,,,,
10,0.005,16,0.02,0.8842,,,,
10,0.0005,16,0.025,0.8713,,,,
10,0.001,16,0.025,0.8719,,,,
10,0.005,16,0.025,0.8625,,,,
10,0.0005,16,0.03,0.7865,,,,
10,0.001,16,0.03,0.7764,,,,
10,0.005,16,0.03,0.7838,,,,
10,0.0005,16,0.035,0.6674,,,,
10,0.001,16,0.035,0.6612,,,,
10,0.005,16,0.035,0.6574,,,,
10,0.0005,16,0.04,0.5284,,,,
10,0.001,16,0.04,0.5245,,,,
10,0.005,16,0.04,0.5394,,,,
10,0.0005,16,0.045,0.4315,,,,
10,0.001,16,0.045,0.4337,,,,
10,0.005,16,0.045,0.4281,,,,
10,0.0005,16,0.05,0.3526,,,,
10,0.001,16,0.05,0.353,,,,
10,0.005,16,0.05,0.3529,,,,
10,0.0005,16,0.055,0.3008,,,,
10,0.001,16,0.055,0.3053,,,,
10,0.005,16,0.055,0.2993,,,,
10,0.0005,16,0.06,0.2528,,,,
